2, 3393, 8.2857141494, 
4, 3838, 9.3724050521, 
4, 3105, 7.5824174880, 
1, 1786, 4.3614163398, 
4, 2933, 7.1623935699, 
1, 1783, 4.3540902137, 
4, 2150, 5.2503056526, 
2, 2071, 5.0573873519, 
2, 1811, 4.4224662780, 
3, 2590, 6.3247866630, 
2, 2524, 6.1636142730, 
3, 3096, 7.5604395866, 
1, 1500, 3.6630036830, 
2, 2541, 6.2051286697, 
2, 1996, 4.8742370605, 
2, 2536, 6.1929183006, 
1, 1512, 3.6923077106, 
2, 3895, 9.5115995407, 
3, 1469, 3.5873017311, 
2, 2174, 5.3089137077, 
1, 2822, 6.8913311958, 
3, 1752, 4.2783885002, 
3, 2387, 5.8290600776, 
4, 1750, 4.2735042572, 
2, 2863, 6.9914531707, 
1, 1641, 4.0073261260, 
1, 2043, 4.9890108108, 
1, 1917, 4.6813187599, 
3, 1438, 3.5115995407, 
1, 2477, 6.0488405227, 
4, 2441, 5.9609279632, 
2, 2039, 4.9792428016, 
2, 1839, 4.4908423423, 
2, 1972, 4.8156290054, 
3, 1626, 3.9706959724, 
4, 1441, 3.5189256668, 
1, 1705, 4.1636142730, 
4, 2553, 6.2344322204, 
2, 2733, 6.6739931106, 
2, 3076, 7.5115995407, 
4, 1582, 3.8632478713, 
1, 1876, 4.5811967849, 
1, 1603, 3.9145299911, 
1, 1472, 3.5946276187, 
2, 3480, 8.4981689453, 
2, 2889, 7.0549449920, 
3, 2190, 5.3479857444, 
2, 2547, 6.2197804450, 
3, 1488, 3.6336996555, 
4, 2758, 6.7350430488, 
2, 3594, 8.7765569686, 
4, 1809, 4.4175825119, 
3, 1435, 3.5042736530, 
2, 2343, 5.7216119766, 
3, 1634, 3.9902319908, 
4, 1694, 4.1367521286, 
3, 1474, 3.5995116233, 
4, 1919, 4.6862025260, 
1, 2332, 5.6947498321, 
3, 2059, 5.0280833244, 
2, 3360, 8.2051286697, 
2, 2482, 6.0610504150, 
4, 1675, 4.0903539657, 
1, 2820, 6.8864469528, 
3, 1659, 4.0512819290, 
3, 1498, 3.6581196784, 
1, 1667, 4.0708179473, 
4, 2356, 5.7533578872, 
4, 2090, 5.1037855148, 
